Rented Bike Count,Hour,Temperature(캜),Humidity(%),Wind speed (m/s),Visibility (10m),Seasons,Holiday,Functioning Day,Day,Month,Year
33,4,-11.1,50,1.2,1986,Winter,No Holiday,Yes,30,1,2018
218,20,-5.8,44,2.1,1994,Winter,No Holiday,Yes,2,7,2018
0,8,11.4,66,0.8,1991,Autumn,Holiday,No,10,9,2018
133,21,-2.3,38,2.3,2000,Winter,Holiday,Yes,17,2,2018
1496,16,19.1,54,3.2,542,Spring,No Holiday,Yes,5,11,2018
63,6,3.4,85,1.5,234,Spring,No Holiday,Yes,3,11,2018
306,18,27.5,79,0.5,1237,Summer,No Holiday,Yes,30,6,2018
883,9,0.2,28,1.9,1932,Autumn,No Holiday,Yes,22,11,2018
657,7,19.4,69,0.3,1277,Summer,No Holiday,Yes,13,6,2018
319,22,0.5,22,2.9,2000,Winter,No Holiday,Yes,20,2,2018
1096,14,22.2,42,1.7,2000,Spring,No Holiday,Yes,5,8,2018
276,4,22.1,54,1.6,2000,Summer,No Holiday,Yes,17,8,2018
551,10,30.2,52,1.8,2000,Summer,No Holiday,Yes,23,8,2018
287,2,6.4,65,0.0,2000,Autumn,No Holiday,Yes,31,10,2018
199,16,-5.4,25,3.4,1985,Winter,No Holiday,Yes,2,5,2018
709,15,34.0,51,1.8,1508,Summer,No Holiday,Yes,13,8,2018
2261,18,17.5,79,1.5,2000,Spring,No Holiday,Yes,18,5,2018
2252,20,23.0,49,2.4,1905,Spring,No Holiday,Yes,28,5,2018
1935,18,17.4,57,3.1,657,Spring,No Holiday,Yes,30,3,2018
194,3,15.6,63,1.7,2000,Spring,No Holiday,Yes,5,8,2018
70,12,7.3,95,2.2,676,Spring,No Holiday,Yes,4,5,2018
281,18,0.0,88,0.6,277,Winter,No Holiday,Yes,18,12,2017
38,2,-5.0,65,0.4,990,Winter,No Holiday,Yes,18,12,2017
774,1,10.9,72,0.0,1966,Autumn,No Holiday,Yes,20,10,2018
467,23,8.6,69,2.2,1730,Spring,No Holiday,Yes,15,4,2018
235,5,20.3,87,1.0,251,Summer,No Holiday,Yes,24,6,2018
1016,23,15.9,83,0.6,2000,Spring,No Holiday,Yes,5,6,2018
327,5,23.9,83,0.4,780,Summer,No Holiday,Yes,18,7,2018
866,9,30.5,53,1.6,2000,Summer,No Holiday,Yes,30,7,2018
255,3,26.1,65,0.6,2000,Summer,No Holiday,Yes,20,8,2018
384,18,2.5,41,1.0,1974,Winter,No Holiday,Yes,12,9,2017
1025,15,21.7,39,3.3,1979,Spring,No Holiday,Yes,14,3,2018
665,15,37.8,34,1.8,1965,Summer,No Holiday,Yes,31,7,2018
1080,15,26.1,27,1.8,581,Spring,No Holiday,Yes,20,4,2018
183,4,28.0,85,1.0,1079,Summer,No Holiday,Yes,8,8,2018
2059,8,18.4,68,1.1,254,Spring,No Holiday,Yes,15,5,2018
277,17,-1.4,68,1.0,761,Winter,No Holiday,Yes,13,1,2018
864,23,13.2,68,1.8,2000,Spring,No Holiday,Yes,18,5,2018
2154,8,8.5,77,0.5,1995,Autumn,No Holiday,Yes,18,10,2018
1073,20,21.1,88,1.7,404,Autumn,No Holiday,Yes,16,9,2018
2034,17,21.3,34,2.7,1967,Spring,No Holiday,Yes,5,9,2018
50,4,-3.8,32,1.1,2000,Winter,No Holiday,Yes,21,2,2018
1888,8,5.1,67,0.3,1981,Autumn,No Holiday,Yes,29,10,2018
356,11,4.6,37,1.6,1309,Winter,No Holiday,Yes,26,2,2018
194,11,-2.6,33,1.5,1830,Winter,No Holiday,Yes,2,1,2018
58,5,1.1,64,0.5,505,Winter,No Holiday,Yes,16,1,2018
1030,14,27.1,72,3.0,1126,Summer,No Holiday,Yes,28,6,2018
1125,16,32.8,52,3.0,1803,Summer,No Holiday,Yes,15,7,2018
50,4,-5.8,32,1.6,2000,Winter,No Holiday,Yes,28,12,2017
91,5,0.7,96,1.0,206,Spring,No Holiday,Yes,4,9,2018
572,1,10.0,78,0.4,1669,Autumn,No Holiday,Yes,25,10,2018
406,19,2.4,57,3.2,1995,Winter,No Holiday,Yes,13,2,2018
263,22,2.5,66,1.1,759,Winter,No Holiday,Yes,2,9,2018
457,9,3.5,53,1.0,1338,Autumn,No Holiday,Yes,18,11,2018
373,23,24.9,87,0.5,658,Summer,No Holiday,Yes,7,10,2018
0,16,21.7,36,3.2,1929,Autumn,No Holiday,No,10,2,2018
168,10,-5.0,41,0.5,1799,Winter,No Holiday,Yes,2,1,2018
1720,19,20.3,81,1.0,2000,Autumn,No Holiday,Yes,21,9,2018
1316,22,13.6,56,1.0,1611,Autumn,No Holiday,Yes,25,10,2018
317,18,-0.8,40,4.7,1429,Spring,Holiday,Yes,3,1,2018
1979,20,17.3,53,1.9,2000,Spring,No Holiday,Yes,5,9,2018
0,15,25.3,39,1.6,2000,Autumn,No Holiday,No,10,4,2018
735,11,20.5,79,1.7,770,Summer,No Holiday,Yes,14,6,2018
427,2,11.7,70,1.0,1012,Autumn,No Holiday,Yes,16,10,2018
224,9,0.2,76,1.3,249,Winter,No Holiday,Yes,30,12,2017
79,0,-2.7,41,3.2,1695,Winter,Holiday,Yes,17,2,2018
33,10,15.8,89,1.8,742,Autumn,No Holiday,Yes,10,5,2018
1491,21,17.8,21,1.2,2000,Spring,No Holiday,Yes,21,4,2018
820,15,34.9,46,2.0,2000,Summer,No Holiday,Yes,8,12,2018
237,2,8.4,45,0.9,1987,Spring,No Holiday,Yes,17,4,2018
848,15,15.4,72,1.1,608,Autumn,No Holiday,Yes,11,7,2018
970,10,25.1,40,2.7,1076,Summer,No Holiday,Yes,6,4,2018
1595,22,18.4,34,1.2,2000,Spring,No Holiday,Yes,19,5,2018
0,20,18.0,67,0.7,2000,Autumn,No Holiday,No,28,9,2018
387,2,22.7,63,0.9,2000,Summer,No Holiday,Yes,7,9,2018
22,3,20.3,97,0.4,200,Summer,No Holiday,Yes,27,8,2018
7,13,3.7,90,0.7,744,Winter,Holiday,Yes,24,12,2017
497,2,25.3,78,1.0,2000,Summer,No Holiday,Yes,17,7,2018
847,13,7.4,27,1.8,2000,Spring,No Holiday,Yes,4,8,2018
12,20,13.3,80,1.8,821,Spring,No Holiday,Yes,22,4,2018
269,16,-3.2,23,2.7,2000,Winter,No Holiday,Yes,27,12,2017
570,20,5.5,77,0.7,490,Autumn,No Holiday,Yes,25,11,2018
1902,20,20.0,46,2.6,1414,Spring,No Holiday,Yes,24,5,2018
552,6,12.1,89,0.3,252,Spring,No Holiday,Yes,14,5,2018
890,12,12.8,45,1.8,1170,Autumn,No Holiday,Yes,13,11,2018
358,20,1.8,19,3.1,2000,Winter,No Holiday,Yes,20,2,2018
944,9,31.0,56,0.8,1945,Summer,No Holiday,Yes,14,8,2018
1835,20,21.3,46,0.1,2000,Autumn,No Holiday,Yes,29,9,2018
282,13,-3.8,32,0.9,1827,Winter,No Holiday,Yes,14,12,2017
855,16,35.4,45,2.6,1529,Summer,No Holiday,Yes,8,7,2018
165,10,3.6,88,2.6,681,Spring,No Holiday,Yes,3,8,2018
825,9,1.8,37,0.9,1310,Autumn,No Holiday,Yes,29,11,2018
555,8,17.5,94,0.9,203,Spring,No Holiday,Yes,5,2,2018
1875,15,21.1,25,4.1,1885,Spring,No Holiday,Yes,28,4,2018
15,5,8.8,96,1.2,196,Spring,No Holiday,Yes,3,4,2018
345,3,28.4,73,1.4,1990,Summer,No Holiday,Yes,14,8,2018
701,10,28.5,66,1.7,1319,Summer,No Holiday,Yes,15,7,2018
702,23,6.9,60,0.8,1610,Autumn,No Holiday,Yes,11,12,2018
1047,15,9.6,34,1.6,1806,Autumn,No Holiday,Yes,18,11,2018
600,8,14.6,54,0.9,431,Spring,No Holiday,Yes,21,4,2018
591,13,36.9,39,1.5,2000,Summer,Holiday,Yes,15,8,2018
184,0,-4.3,52,1.6,1247,Winter,No Holiday,Yes,1,6,2018
153,4,24.0,70,1.2,2000,Autumn,No Holiday,Yes,9,3,2018
474,0,1.8,62,1.6,1411,Autumn,No Holiday,Yes,30,11,2018
1039,19,6.0,24,3.0,1861,Autumn,No Holiday,Yes,28,11,2018
1935,21,22.1,72,2.5,923,Summer,Holiday,Yes,6,6,2018
1163,0,22.8,78,1.5,2000,Summer,No Holiday,Yes,26,8,2018
239,11,-5.2,30,4.0,1991,Winter,No Holiday,Yes,16,12,2017
260,4,28.1,63,0.8,2000,Summer,No Holiday,Yes,8,12,2018
265,4,18.1,76,1.8,561,Summer,No Holiday,Yes,6,1,2018
1434,16,28.8,38,3.1,1027,Summer,No Holiday,Yes,6,5,2018
660,22,4.9,46,0.8,2000,Spring,No Holiday,Yes,16,3,2018
1057,23,13.4,69,3.7,2000,Autumn,No Holiday,Yes,10,1,2018
353,2,19.2,60,1.5,2000,Summer,No Holiday,Yes,6,11,2018
3256,18,27.0,44,1.4,2000,Autumn,No Holiday,Yes,9,12,2018
2594,18,26.8,71,1.2,2000,Summer,No Holiday,Yes,7,5,2018
488,23,0.4,37,2.9,2000,Autumn,No Holiday,Yes,22,11,2018
510,12,6.8,51,1.0,1617,Spring,No Holiday,Yes,3,9,2018
147,16,-10.8,28,2.7,1778,Winter,No Holiday,Yes,26,1,2018
149,23,1.1,39,0.6,1422,Winter,No Holiday,Yes,1,7,2018
676,1,11.4,74,1.3,2000,Spring,No Holiday,Yes,19,5,2018
695,6,23.7,83,0.1,713,Summer,No Holiday,Yes,18,7,2018
24,13,20.5,97,1.2,338,Summer,No Holiday,Yes,26,6,2018
980,0,23.2,81,2.4,1976,Summer,No Holiday,Yes,25,8,2018
436,0,9.5,61,1.7,2000,Spring,No Holiday,Yes,4,5,2018
273,4,22.6,66,0.9,2000,Summer,No Holiday,Yes,7,6,2018
31,4,-6.6,72,2.2,2000,Winter,No Holiday,Yes,1,10,2018
337,1,20.5,73,1.9,1693,Autumn,No Holiday,Yes,17,9,2018
231,7,-11.1,37,1.6,2000,Winter,No Holiday,Yes,29,1,2018
117,2,-3.0,79,0.0,1862,Winter,No Holiday,Yes,12,6,2017
153,23,-1.1,87,1.4,349,Winter,No Holiday,Yes,20,12,2017
311,14,0.8,55,1.8,1132,Winter,No Holiday,Yes,28,12,2017
371,3,27.6,80,1.6,929,Summer,No Holiday,Yes,27,7,2018
581,6,22.5,90,0.6,1149,Summer,No Holiday,Yes,28,8,2018
763,13,31.1,53,3.2,1162,Summer,No Holiday,Yes,17,7,2018
283,5,26.1,83,0.3,1617,Summer,No Holiday,Yes,8,10,2018
2809,19,23.3,59,2.6,1214,Summer,No Holiday,Yes,19,6,2018
165,7,-4.4,64,2.8,1367,Winter,No Holiday,Yes,19,12,2017
125,11,-9.6,33,1.1,1748,Winter,No Holiday,Yes,27,1,2018
18,3,7.2,96,0.8,349,Spring,No Holiday,Yes,4,6,2018
0,19,11.9,71,2.7,589,Autumn,No Holiday,No,11,9,2018
54,3,-10.7,42,1.4,2000,Winter,No Holiday,Yes,30,1,2018
2367,18,33.2,59,1.8,1069,Summer,No Holiday,Yes,26,7,2018
1408,13,22.7,35,3.4,1794,Spring,No Holiday,Yes,5,5,2018
171,13,-0.8,39,2.6,1853,Winter,No Holiday,Yes,31,1,2018
1167,15,20.2,31,1.6,855,Autumn,No Holiday,Yes,22,10,2018
339,21,0.8,45,1.5,1184,Winter,No Holiday,Yes,18,1,2018
1416,23,21.7,51,1.7,2000,Summer,No Holiday,Yes,7,7,2018
1899,21,30.2,65,2.3,1642,Summer,No Holiday,Yes,24,7,2018
0,1,13.6,81,3.6,886,Spring,No Holiday,No,4,11,2018
1011,15,28.8,66,0.9,1806,Summer,No Holiday,Yes,7,5,2018
1147,13,27.3,33,3.4,1921,Summer,No Holiday,Yes,21,6,2018
339,5,21.1,48,0.3,2000,Summer,No Holiday,Yes,23,6,2018
81,5,1.1,88,0.9,927,Spring,No Holiday,Yes,22,3,2018
250,15,-5.8,30,2.8,2000,Winter,No Holiday,Yes,12,12,2017
826,10,25.3,70,0.6,1386,Summer,No Holiday,Yes,28,6,2018
1308,7,23.5,86,0.2,1908,Summer,No Holiday,Yes,7,3,2018
542,1,30.0,52,1.5,1774,Summer,No Holiday,Yes,23,7,2018
174,3,5.5,57,1.1,1079,Spring,No Holiday,Yes,18,3,2018
991,12,27.4,80,2.7,1083,Summer,No Holiday,Yes,7,12,2018
334,21,3.4,59,0.8,471,Winter,No Holiday,Yes,15,1,2018
54,16,2.3,91,3.3,270,Winter,Holiday,Yes,24,12,2017
283,14,4.0,25,0.9,1009,Winter,No Holiday,Yes,2,9,2018
366,7,15.7,68,0.9,2000,Autumn,No Holiday,Yes,9,9,2018
1015,13,14.3,43,3.6,1995,Autumn,No Holiday,Yes,10,10,2018
258,3,2.5,49,0.2,2000,Autumn,No Holiday,Yes,18,11,2018
0,10,20.7,62,1.3,1679,Autumn,No Holiday,No,30,9,2018
2202,8,9.2,68,0.2,952,Autumn,No Holiday,Yes,17,10,2018
132,1,-1.2,57,4.3,1429,Winter,Holiday,Yes,25,12,2017
273,11,5.1,87,1.4,321,Winter,No Holiday,Yes,12,3,2017
403,19,-1.3,28,2.4,2000,Winter,No Holiday,Yes,1,2,2018
1003,22,11.3,42,1.6,1189,Spring,No Holiday,Yes,18,4,2018
697,14,16.7,88,1.5,1760,Spring,No Holiday,Yes,18,5,2018
1622,8,6.4,86,0.9,450,Autumn,No Holiday,Yes,21,11,2018
222,6,27.3,83,1.4,1080,Summer,No Holiday,Yes,8,5,2018
513,0,20.5,94,3.7,896,Summer,No Holiday,Yes,27,6,2018
1626,19,14.3,53,2.1,2000,Spring,No Holiday,Yes,4,4,2018
701,11,30.2,53,2.2,1143,Summer,No Holiday,Yes,18,7,2018
